Customer Id,First Name,Last Name,Email,Phone,Birthday,Age,Age Band,Gender,Occupation,Education Level,Company,Country,City,Address,Postal Code
43a72758-52be-4afc-8587-50e46dbb6c62,Christine,Green,zcox@example.net,200-320-7745x65749,1950-06-08,73,65+,Male,Financial controller,Bachelor's Degree,Mccoy-Zamora,Puerto Rico,Lake Kimberly,213 Dustin Lock Suite 024,63262
3bee8574-ae23-4e52-9e21-b3fcf40f65cc,Michael,Wise,clarkbrian@example.org,+1-470-791-3221,1983-02-12,41,36-45,Female,"Sound technician, broadcasting/film/video",PhD,Phillips-Edwards,Aruba,South Amber,0112 Christopher Rapid,76978
75e01272-19bc-4e71-b420-8158adffd091,Michelle,Mayer,danaperkins@example.org,+1-660-554-1768x59226,1946-05-07,77,65+,Female,Control and instrumentation engineer,Master's Degree,Roman and Sons,Martinique,Jonathanfurt,70445 Ryan Meadows,59683
b97f3f43-bd31-4809-a910-add18a821227,Tracey,Thomas,meyerpaul@example.com,513-663-1310x20348,1940-04-08,84,65+,Male,Forensic psychologist,High School,"Schmitt, Jones and Clay",Indonesia,North Jonathanville,8528 Lawson Park,29554
4aa25134-81c7-4abe-8b79-6434902051c7,George,Kelly,alexis11@example.org,940-797-1952x42191,1967-03-18,57,56-65,Male,Adult nurse,PhD,"Johnson, Kelly and Bryant",Mali,Lake Victoriashire,130 Lewis Roads Suite 730,54493
1aeb0ea7-2f8c-4c00-bd95-c6ade35c3e20,Ashley,Wells,hramirez@example.net,514-890-5598x6798,1985-02-25,39,36-45,Female,Amenity horticulturist,Bachelor's Degree,"Alexander, White and Sandoval",Israel,Gainesbury,338 Jonathan Parks,87599
02f1b24d-28b6-4b38-b64a-ce26bc6e5a4b,Christopher,Fox,philipgiles@example.net,813.593.2082,1937-07-04,86,65+,Female,Medical illustrator,High School,Wilson-Miller,Luxembourg,Johnton,7094 Jasmine Route Apt. 605,37469
f3129896-1253-4130-8740-04a89213118a,Margaret,Harris,shelley78@example.net,225.895.4579x3999,1939-08-17,84,65+,Female,Media planner,PhD,Lowe-Jones,Libyan Arab Jamahiriya,Stewartfurt,268 Russo Summit Apt. 838,56223
9afd507f-023b-45ff-a655-9a7a72913ac3,Ashley,Huang,phendricks@example.org,+1-312-470-2174x3485,1957-09-24,66,65+,Female,Research scientist (life sciences),Master's Degree,"Hughes, Edwards and Hoffman",Serbia,West Graceburgh,02753 Guerrero Court Suite 099,23965
2d7e0426-f1b4-4ed6-a3f4-2cde9ea32da6,Bethany,Gutierrez,mmaldonado@example.org,835-600-7993,1947-03-15,77,65+,Male,Medical laboratory scientific officer,Master's Degree,Scott-Barajas,Denmark,North Lisaburgh,1072 Pamela Mountains Apt. 299,37114
f2ebecab-4e81-4732-8468-d331436859ac,Regina,Lucas,rodriguezdennis@example.org,203-736-5176,1948-01-04,76,65+,Male,Operations geologist,Bachelor's Degree,Watson-Johnson,North Macedonia,West Krystal,69881 Shelley Village,40608
